CUSTID,SDATE,店舗,商品,数量,単価,小計
100619,2024-01-01,店舗1,商品12,5,194,970
100973,2024-01-01,店舗1,商品12,4,194,776
101179,2024-01-01,店舗1,商品12,8,194,1552
101179,2024-01-01,店舗1,商品12,4,194,776
101301,2024-01-01,店舗1,商品12,5,194,970
101380,2024-01-01,店舗1,商品07,4,172,688
101380,2024-01-01,店舗1,商品07,4,172,688
101380,2024-01-01,店舗1,商品07,3,172,516
101380,2024-01-01,店舗1,商品11,2,594,1188
101501,2024-01-01,店舗1,商品12,9,194,1746
101789,2024-01-01,店舗1,商品12,11,194,2134
101867,2024-01-01,店舗1,商品12,5,194,970
102112,2024-01-01,店舗1,商品12,5,194,970
102112,2024-01-01,店舗1,商品12,7,194,1358
102371,2024-01-01,店舗1,商品12,8,194,1552
102437,2024-01-01,店舗1,商品12,6,194,1164
102437,2024-01-01,店舗1,商品12,7,194,1358
102879,2024-01-01,店舗1,商品09,4,172,688
102931,2024-01-01,店舗1,商品12,5,194,970
102931,2024-01-01,店舗1,商品12,10,194,1940
103214,2024-01-01,店舗1,商品12,5,194,970
103214,2024-01-01,店舗1,商品12,4,194,776
103215,2024-01-01,店舗1,商品12,4,194,776
103449,2024-01-01,店舗1,商品12,3,194,582
103722,2024-01-01,店舗1,商品12,7,194,1358
103993,2024-01-01,店舗1,商品12,6,194,1164
105038,2024-01-01,店舗1,商品12,2,194,388
105334,2024-01-01,店舗1,商品12,5,194,970
105725,2024-01-01,店舗1,商品12,5,194,970
105725,2024-01-01,店舗1,商品12,5,194,970
101084,2024-01-01,店舗2,商品09,2,172,344
104665,2024-01-01,店舗2,商品03,1,421,421
104665,2024-01-01,店舗2,商品03,1,421,421
104665,2024-01-01,店舗2,商品03,1,421,421
104665,2024-01-01,店舗2,商品03,1,421,421
104665,2024-01-01,店舗2,商品03,1,421,421
105244,2024-01-01,店舗2,商品04,2,194,388
105566,2024-01-01,店舗2,商品10,1,194,194
105863,2024-01-01,店舗2,商品08,1,194,194
100067,2024-01-02,店舗1,商品12,3,194,582
100122,2024-01-02,店舗1,商品12,9,194,1746
101349,2024-01-02,店舗1,商品12,5,194,970
101731,2024-01-02,店舗1,商品12,11,194,2134
102397,2024-01-02,店舗1,商品07,6,172,1032
103369,2024-01-02,店舗1,商品10,5,194,970
103613,2024-01-02,店舗1,商品11,2,594,1188
104026,2024-01-02,店舗1,商品12,6,194,1164
105816,2024-01-02,店舗1,商品12,5,194,970
101229,2024-01-02,店舗2,商品09,3,172,516
101229,2024-01-02,店舗2,商品09,3,172,516
101850,2024-01-02,店舗2,商品07,2,172,344
102291,2024-01-02,店舗2,商品05,2,194,388
102291,2024-01-02,店舗2,商品06,2,194,388
103455,2024-01-02,店舗2,商品06,2,194,388
104373,2024-01-02,店舗2,商品06,1,194,194
104420,2024-01-02,店舗2,商品05,3,194,582
104420,2024-01-02,店舗2,商品05,2,194,388
104420,2024-01-02,店舗2,商品05,1,194,194
104531,2024-01-02,店舗2,商品04,1,194,194
104939,2024-01-02,店舗2,商品06,2,194,388
105287,2024-01-02,店舗2,商品05,2,194,388
105938,2024-01-02,店舗2,商品07,3,172,516
100418,2024-01-03,店舗1,商品12,3,194,582
100706,2024-01-03,店舗1,商品12,10,194,1940
101959,2024-01-03,店舗1,商品12,7,194,1358
103037,2024-01-03,店舗1,商品12,4,194,776
103121,2024-01-03,店舗1,商品12,10,194,1940
103168,2024-01-03,店舗1,商品12,5,194,970
104339,2024-01-03,店舗1,商品12,2,194,388
105598,2024-01-03,店舗1,商品12,8,194,1552
105768,2024-01-03,店舗1,商品12,4,194,776
105809,2024-01-03,店舗1,商品12,5,194,970
101427,2024-01-03,店舗2,商品07,3,172,516
101427,2024-01-03,店舗2,商品08,2,194,388
102103,2024-01-03,店舗2,商品09,2,172,344
102825,2024-01-03,店舗2,商品07,2,172,344
103049,2024-01-03,店舗2,商品04,3,194,582
103350,2024-01-03,店舗2,商品08,2,194,388
104343,2024-01-03,店舗2,商品09,3,172,516
104343,2024-01-03,店舗2,商品09,4,172,688
104941,2024-01-03,店舗2,商品09,2,172,344
105763,2024-01-03,店舗2,商品08,2,194,388
105763,2024-01-03,店舗2,商品08,2,194,388
101450,2024-01-04,店舗1,商品12,4,194,776
103412,2024-01-04,店舗1,商品12,4,194,776
103993,2024-01-04,店舗1,商品12,4,194,776
104852,2024-01-04,店舗1,商品03,2,421,842
104954,2024-01-04,店舗1,商品12,3,194,582
104954,2024-01-04,店舗1,商品12,7,194,1358
105232,2024-01-04,店舗1,商品12,7,194,1358
105232,2024-01-04,店舗1,商品12,4,194,776
105778,2024-01-04,店舗1,商品12,3,194,582
105851,2024-01-04,店舗1,商品12,5,194,970
100311,2024-01-04,店舗2,商品01,2,172,344
101633,2024-01-04,店舗2,商品05,3,194,582
101633,2024-01-04,店舗2,商品05,2,194,388
102157,2024-01-04,店舗2,商品05,2,194,388
102157,2024-01-04,店舗2,商品05,1,194,194
102157,2024-01-04,店舗2,商品05,1,194,194
102529,2024-01-04,店舗2,商品08,2,194,388
103168,2024-01-04,店舗2,商品07,5,172,860
103168,2024-01-04,店舗2,商品09,3,172,516
103461,2024-01-04,店舗2,商品07,3,172,516
104114,2024-01-04,店舗2,商品09,2,172,344
104169,2024-01-04,店舗2,商品07,3,172,516
104880,2024-01-04,店舗2,商品08,4,194,776
104880,2024-01-04,店舗2,商品09,3,172,516
105006,2024-01-04,店舗2,商品09,3,172,516
105462,2024-01-04,店舗2,商品08,1,194,194
100243,2024-01-05,店舗1,商品12,4,194,776
100585,2024-01-05,店舗1,商品12,2,194,388
101266,2024-01-05,店舗1,商品12,5,194,970
101999,2024-01-05,店舗1,商品12,3,194,582
102045,2024-01-05,店舗1,商品12,3,194,582
102122,2024-01-05,店舗1,商品12,3,194,582
103025,2024-01-05,店舗1,商品12,4,194,776
103418,2024-01-05,店舗1,商品12,5,194,970
104117,2024-01-05,店舗1,商品12,8,194,1552
104120,2024-01-05,店舗1,商品07,3,172,516
104120,2024-01-05,店舗1,商品07,4,172,688
104120,2024-01-05,店舗1,商品07,8,172,1376
104120,2024-01-05,店舗1,商品07,9,172,1548
104258,2024-01-05,店舗1,商品11,1,594,594
104258,2024-01-05,店舗1,商品11,1,594,594
100230,2024-01-05,店舗2,商品07,2,172,344
100640,2024-01-05,店舗2,商品08,4,194,776
101194,2024-01-05,店舗2,商品07,4,172,688
101263,2024-01-05,店舗2,商品05,3,194,582
101263,2024-01-05,店舗2,商品05,3,194,582
101328,2024-01-05,店舗2,商品07,2,172,344
101328,2024-01-05,店舗2,商品09,2,172,344
101559,2024-01-05,店舗2,商品01,3,172,516
101618,2024-01-05,店舗2,商品10,2,194,388
101973,2024-01-05,店舗2,商品08,4,194,776
103060,2024-01-05,店舗2,商品09,2,172,344
104589,2024-01-05,店舗2,商品07,3,172,516
104862,2024-01-05,店舗2,商品09,3,172,516
104867,2024-01-05,店舗2,商品09,3,172,516
105581,2024-01-05,店舗2,商品01,2,172,344
105581,2024-01-05,店舗2,商品01,2,172,344
100005,2024-01-06,店舗1,商品12,9,194,1746
100008,2024-01-06,店舗1,商品12,7,194,1358
100334,2024-01-06,店舗1,商品12,7,194,1358
100334,2024-01-06,店舗1,商品12,7,194,1358
100878,2024-01-06,店舗1,商品12,4,194,776
100977,2024-01-06,店舗1,商品12,3,194,582
101688,2024-01-06,店舗1,商品12,5,194,970
103004,2024-01-06,店舗1,商品12,4,194,776
103025,2024-01-06,店舗1,商品12,6,194,1164
103123,2024-01-06,店舗1,商品12,10,194,1940
103230,2024-01-06,店舗1,商品12,7,194,1358
103230,2024-01-06,店舗1,商品12,5,194,970
103484,2024-01-06,店舗1,商品12,7,194,1358
